         25855683 function calls (25855493 primitive calls) in 11.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       10    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
       15    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        6    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 uuid.py:78(SafeUUID)
        5    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       10    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
        5    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
      130    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       64    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       14    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
       81    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 spell_set.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spell.py:64(SpellBuff)
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       34    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       12    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        7    0.000    0.000    0.000    0.000 spell.py:176(__init__)
       23    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
       46    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        4    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 spell_chain.py:40(<listcomp>)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
