         15454404 function calls (15454214 primitive calls) in 7.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      153    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 typing.py:466(<genexpr>)
        2    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
       20    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
       35    0.000    0.000    0.000    0.000 spell.py:344(set_base_damages)
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
       87    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 typing.py:358(__getitem__)
       24    0.000    0.000    0.000    0.000 typing.py:837(<genexpr>)
        5    0.000    0.000    0.000    0.000 inspect.py:2873(replace)
        2    0.000    0.000    0.000    0.000 typing.py:909(__getitem__)
        8    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
    46/42    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
        2    0.000    0.000    0.000    0.000 typing.py:481(Literal)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        7    0.000    0.000    0.000    0.000 spell.py:450(check_json_validity)
        1    0.000    0.000    0.000    0.000 typing.py:524(__init__)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
        5    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 uuid.py:84(UUID)
        1    0.000    0.000    0.000    0.000 spell_chain.py:11(ComputationData)
        1    0.000    0.000    0.000    0.000 spell.py:41(SpellParameters)
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        7    0.000    0.000    0.000    0.000 spell.py:176(__init__)
        1    0.000    0.000    0.000    0.000 spell_set.py:28(get_spell_list_single_target)
       34    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      317    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       34    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       10    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
        5    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       10    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        5    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        3    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 uuid.py:78(SafeUUID)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       14    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       81    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       64    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       22    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
