         25855683 function calls (25855493 primitive calls) in 11.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       32    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       22    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 spell.py:13(SpellOutput)
       10    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       24    0.000    0.000    0.000    0.000 typing.py:837(<genexpr>)
       85    0.000    0.000    0.000    0.000 inspect.py:2548(name)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        7    0.000    0.000    0.000    0.000 spell.py:176(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       40    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
        2    0.000    0.000    0.000    0.000 typing.py:909(__getitem__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       12    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       20    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
        7    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       87    0.000    0.000    0.000    0.000 spell.py:436(get_short_name)
       30    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       18    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        5    0.000    0.000    0.000    0.000 inspect.py:1866(_signature_is_builtin)
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        6    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        9    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
        3    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 spell.py:175(Spell)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        7    0.000    0.000    0.000    0.000 spell.py:297(can_reach_po)
        5    0.000    0.000    0.001    0.000 dataclasses.py:575(_cmp_fn)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       15    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
       39    0.000    0.000    0.000    0.000 typing.py:743(<genexpr>)
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       37    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
        5    0.000    0.000    0.001    0.000 inspect.py:2859(from_callable)
       30    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       45    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        7    0.000    0.000    0.000    0.000 spell.py:278(get_max_uses_single_target)
        5    0.000    0.000    0.000    0.000 inspect.py:2873(replace)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.000    0.000 spell_set.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:84(UUID)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 stats.py:33(Stats)
       30    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
        1    0.000    0.000    0.000    0.000 spell_chain.py:38(<listcomp>)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        9    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       19    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        5    0.000    0.000    0.001    0.000 inspect.py:3111(signature)
        7    0.000    0.000    0.000    0.000 spell.py:363(set_crit_chance)
        7    0.000    0.000    0.000    0.000 spell.py:410(set_po)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       13    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       31    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       20    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        5    0.000    0.000    0.004    0.001 dataclasses.py:1012(wrap)
       40    0.000    0.000    0.000    0.000 inspect.py:2552(default)
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 damages.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        5    0.000    0.000    0.004    0.001 dataclasses.py:998(dataclass)
        1    0.000    0.000    0.000    0.000 spell_set.py:10(SpellSet)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
       15    0.000    0.000    0.000    0.000 typing.py:750(__eq__)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
        5    0.000    0.000    0.000    0.000 dataclasses.py:949(<listcomp>)
        5    0.000    0.000    0.000    0.000 inspect.py:1878(_signature_is_functionlike)
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       12    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        5    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 stats.py:16(Damages)
        7    0.000    0.000    0.000    0.000 spell.py:397(set_weapon)
       10    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 typing.py:218(_deduplicate)
        1    0.000    0.000    0.000    0.000 typing.py:524(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       19    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:85(copy)
        7    0.000    0.000    0.000    0.000 spell.py:329(set_pa)
        7    0.000    0.000    0.000    0.000 spell.py:429(set_name)
       16    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        9    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
       29    0.000    0.000    0.000    0.000 spell.py:326(get_pa)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
        5    0.000    0.000    0.000    0.000 dataclasses.py:943(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:621(_validate_hash_pyc)
        6    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       23    0.000    0.000    0.000    0.000 dataclasses.py:162(__repr__)
        2    0.000    0.000    0.000    0.000 typing.py:249(_flatten_literal_params)
       10    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
