         6448772 function calls (6448576 primitive calls) in 3.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       10    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
       81    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 spell.py:176(Spell)
       34    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       64    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 spell_chain.py:40(<listcomp>)
        1    0.000    0.000    0.000    0.000 spell_set.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       18    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 spell.py:65(SpellBuff)
        9    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       46    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       11    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       50    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
       12    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       23    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
       72    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        9    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       34    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        4    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       22    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       17    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       75    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
